CustomerID,Gender,Age,Tenure,ContractType,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,TechSupport,StreamingTV,OnlineSecurity,PaperlessBilling,Churn
CUST00001,Male,68,16,Month-to-month,Fiber optic,63.46,1033.67,Electronic check,Yes,Yes,No,No,1
CUST00002,Female,57,51,Month-to-month,Fiber optic,79.29,4064.48,Mailed check,Yes,Yes,No,Yes,1
CUST00003,Male,24,11,Month-to-month,DSL,69.53,748.64,Bank transfer,Yes,No,No,Yes,1
CUST00004,Male,49,47,Month-to-month,Fiber optic,95.02,4527.19,Electronic check,Yes,No,No,Yes,1
CUST00005,Male,65,21,Month-to-month,Fiber optic,59.7,1272.96,Electronic check,No,Yes,Yes,Yes,1
CUST00006,Female,36,48,Month-to-month,DSL,72.66,3481.83,Electronic check,No,No,No,Yes,0
CUST00007,Male,23,51,Month-to-month,DSL,45.04,2344.69,Mailed check,Yes,No,No,No,0
CUST00008,Male,37,0,Month-to-month,Fiber optic,57.19,8.35,Mailed check,No,Yes,No,Yes,1
CUST00009,Male,44,65,Two year,DSL,52.57,3432.3,Electronic check,No,No,No,Yes,0
CUST00010,Female,70,63,Month-to-month,DSL,48.18,2951.96,Mailed check,No,No,Yes,Yes,0
CUST00011,Male,60,7,Two year,Fiber optic,64.93,421.1,Mailed check,No,Yes,No,No,1
CUST00012,Male,54,24,Month-to-month,Fiber optic,69.18,1674.75,Electronic check,No,Yes,Yes,Yes,1
CUST00013,Male,65,65,One year,DSL,30.51,1975.35,Electronic check,No,Yes,No,No,0
CUST00014,Male,24,69,Month-to-month,Fiber optic,79.99,5568.77,Credit card,Yes,No,Yes,Yes,1
CUST00015,Female,76,50,One year,Fiber optic,64.78,3268.3,Credit card,Yes,No,No,No,0
CUST00016,Male,22,52,Month-to-month,DSL,69.8,3658.9,Electronic check,No,Yes,Yes,No,0
CUST00017,Female,28,14,Month-to-month,Fiber optic,83.58,1119.78,Bank transfer,No,No,Yes,Yes,1
CUST00018,Female,32,49,Two year,Fiber optic,86.54,4316.29,Electronic check,No,No,Yes,No,1
CUST00019,Female,20,70,Month-to-month,DSL,70.39,4994.81,Electronic check,No,No,Yes,No,1
CUST00020,Male,75,37,Two year,Fiber optic,81.72,3037.3,Electronic check,Yes,No,Yes,Yes,0
CUST00021,Female,22,39,Month-to-month,Fiber optic,60.19,2305.58,Electronic check,No,No,Yes,No,1
CUST00022,Male,40,65,Month-to-month,Fiber optic,87.96,5644.38,Electronic check,Yes,Yes,Yes,Yes,1
CUST00023,Female,70,38,Month-to-month,Fiber optic,77.18,2902.67,Electronic check,No,Yes,Yes,Yes,1
CUST00024,Female,54,16,One year,Fiber optic,73.9,1155.38,Electronic check,Yes,No,No,Yes,0
CUST00025,Female,26,6,Month-to-month,DSL,63.5,421.59,Electronic check,No,No,Yes,Yes,1
CUST00026,Female,32,38,Two year,Fiber optic,95.61,3691.85,Credit card,No,No,No,Yes,0
CUST00027,Female,20,67,Month-to-month,Fiber optic,81.93,5434.46,Credit card,Yes,No,No,Yes,1
CUST00028,Female,46,34,One year,Fiber optic,61.13,2053.29,Credit card,No,No,No,No,0
CUST00029,Female,23,50,Month-to-month,Fiber optic,86.07,4319.17,Bank transfer,Yes,No,Yes,No,0
CUST00030,Female,34,46,Month-to-month,Fiber optic,74.11,3404.28,Mailed check,Yes,No,Yes,Yes,1
